scooter_id,timestamp,lat,lon,battery,ride_status
SCOOTER_049,2023-01-01T06:28:15,48.864918,2.381501,85.92,idle
SCOOTER_043,2023-01-01T06:28:30,48.874663,2.372289,89.47,stop
SCOOTER_039,2023-01-01T06:28:45,48.869177,2.386942,36.44,stop
SCOOTER_007,2023-01-01T06:29:00,48.895763,2.350864,33.81,start
SCOOTER_007,2023-01-01T06:29:15,48.877678,2.343431,68.48,stop
SCOOTER_037,2023-01-01T06:29:30,48.886317,2.376727,40.42,start
SCOOTER_001,2023-01-01T06:29:45,48.865836,2.353806,53.59,stop
SCOOTER_025,2023-01-01T06:30:00,48.87422,2.387978,33.24,idle
SCOOTER_023,2023-01-01T06:30:15,48.854361,2.377918,79.53,idle
SCOOTER_020,2023-01-01T06:30:30,48.867627,2.378091,53.94,idle
SCOOTER_033,2023-01-01T06:30:45,48.870598,2.368256,73.02,stop
SCOOTER_005,2023-01-01T06:31:00,48.884146,2.389322,77.57,start
SCOOTER_004,2023-01-01T06:31:15,48.884569,2.359893,68.88,idle
SCOOTER_021,2023-01-01T06:31:30,48.865166,2.351763,79.26,start
SCOOTER_010,2023-01-01T06:31:45,48.858568,2.340259,73.82,idle
SCOOTER_010,2023-01-01T06:32:00,48.893524,2.379456,21.55,start
SCOOTER_002,2023-01-01T06:32:15,48.855858,2.368469,84.89,stop
SCOOTER_015,2023-01-01T06:32:30,48.860437,2.368279,69.19,idle
SCOOTER_040,2023-01-01T06:32:45,48.8607,2.350674,87.22,start
SCOOTER_034,2023-01-01T06:33:00,48.850484,2.376865,49.32,start
SCOOTER_048,2023-01-01T06:33:15,48.897179,2.362005,24.02,stop
SCOOTER_028,2023-01-01T06:33:30,48.883518,2.375506,15.71,start
SCOOTER_006,2023-01-01T06:33:45,48.865133,2.346513,13.07,start
SCOOTER_049,2023-01-01T06:34:00,48.852419,2.358383,38.06,start
SCOOTER_015,2023-01-01T06:34:15,48.894233,2.378849,40.83,start
SCOOTER_005,2023-01-01T06:34:30,48.875977,2.370143,58.64,stop
SCOOTER_004,2023-01-01T06:34:45,48.890053,2.375733,63.73,start
SCOOTER_006,2023-01-01T06:35:00,48.887218,2.383831,65.02,start
SCOOTER_035,2023-01-01T06:35:15,48.889014,2.350771,71.18,stop
SCOOTER_043,2023-01-01T06:35:30,48.875784,2.370789,80.88,idle
SCOOTER_024,2023-01-01T06:35:45,48.865983,2.360548,74.53,start
SCOOTER_001,2023-01-01T06:36:00,48.896667,2.349427,25.6,stop
SCOOTER_027,2023-01-01T06:36:15,48.888821,2.380831,45.78,stop
SCOOTER_019,2023-01-01T06:36:30,48.893218,2.350864,45.19,stop
SCOOTER_044,2023-01-01T06:36:45,48.854372,2.364129,61.57,start
SCOOTER_004,2023-01-01T06:37:00,48.898943,2.347119,17.39,stop
SCOOTER_029,2023-01-01T06:37:15,48.887744,2.357365,48.56,stop
SCOOTER_015,2023-01-01T06:37:30,48.868423,2.376124,76.83,idle
SCOOTER_036,2023-01-01T06:37:45,48.857351,2.378345,51.04,stop
SCOOTER_009,2023-01-01T06:38:00,48.85438,2.37019,98.4,idle
SCOOTER_049,2023-01-01T06:38:15,48.868659,2.347804,68.81,idle
SCOOTER_047,2023-01-01T06:38:30,48.868205,2.368845,40.74,idle
SCOOTER_020,2023-01-01T06:38:45,48.868767,2.359076,49.49,idle
SCOOTER_034,2023-01-01T06:39:00,48.892183,2.374347,61.42,idle
SCOOTER_001,2023-01-01T06:39:15,48.85886,2.375868,74.69,idle
SCOOTER_011,2023-01-01T06:39:30,48.891272,2.341318,36.08,stop
SCOOTER_032,2023-01-01T06:39:45,48.89916,2.353958,23.08,start
SCOOTER_029,2023-01-01T06:40:00,48.852578,2.381312,77.79,stop
SCOOTER_041,2023-01-01T06:40:15,48.868296,2.379429,16.76,start
SCOOTER_038,2023-01-01T06:40:30,48.877853,2.346784,15.28,idle
SCOOTER_013,2023-01-01T06:40:45,48.886207,2.361859,69.36,stop
SCOOTER_030,2023-01-01T06:41:00,48.862451,2.343466,95.15,idle
SCOOTER_041,2023-01-01T06:41:15,48.869107,2.346364,10.47,stop
SCOOTER_024,2023-01-01T06:41:30,48.884114,2.374967,74.58,start
SCOOTER_022,2023-01-01T06:41:45,48.882702,2.386016,45.0,idle
SCOOTER_009,2023-01-01T06:42:00,48.857025,2.386655,95.17,stop
SCOOTER_002,2023-01-01T06:42:15,48.851839,2.364185,46.08,start
SCOOTER_012,2023-01-01T06:42:30,48.88052,2.363116,52.0,start
SCOOTER_050,2023-01-01T06:42:45,48.877136,2.384819,11.58,idle
SCOOTER_042,2023-01-01T06:43:00,48.859599,2.37054,90.28,stop
SCOOTER_046,2023-01-01T06:43:15,48.854477,2.373487,87.74,stop
SCOOTER_020,2023-01-01T06:43:30,48.897586,2.358166,62.56,start
SCOOTER_027,2023-01-01T06:43:45,48.892453,2.358878,99.16,idle
SCOOTER_035,2023-01-01T06:44:00,48.886304,2.347705,87.91,stop
SCOOTER_017,2023-01-01T06:44:15,48.883441,2.370501,69.88,idle
SCOOTER_004,2023-01-01T06:44:30,48.884187,2.34948,77.47,idle
SCOOTER_021,2023-01-01T06:44:45,48.861918,2.378405,33.67,start
SCOOTER_038,2023-01-01T06:45:00,48.880555,2.362811,72.65,start
SCOOTER_001,2023-01-01T06:45:15,48.894415,2.342446,39.35,stop
SCOOTER_002,2023-01-01T06:45:30,48.866401,2.389046,82.87,idle
SCOOTER_023,2023-01-01T06:45:45,48.892017,2.385105,26.14,stop
SCOOTER_031,2023-01-01T06:46:00,48.867955,2.37247,47.35,idle
SCOOTER_043,2023-01-01T06:46:15,48.888431,2.37354,81.76,start
SCOOTER_038,2023-01-01T06:46:30,48.886037,2.384543,49.07,idle
SCOOTER_026,2023-01-01T06:46:45,48.883151,2.379727,82.63,stop
SCOOTER_017,2023-01-01T06:47:00,48.870006,2.354749,35.81,idle
SCOOTER_020,2023-01-01T06:47:15,48.8673,2.349756,65.77,stop
SCOOTER_048,2023-01-01T06:47:30,48.866042,2.379738,85.25,idle
SCOOTER_023,2023-01-01T06:47:45,48.877939,2.34564,93.85,start
SCOOTER_015,2023-01-01T06:48:00,48.878661,2.358358,78.84,start
SCOOTER_028,2023-01-01T06:48:15,48.874233,2.380432,10.29,start
SCOOTER_043,2023-01-01T06:48:30,48.856535,2.377432,12.14,start
SCOOTER_022,2023-01-01T06:48:45,48.878619,2.350789,60.53,start
SCOOTER_023,2023-01-01T06:49:00,48.894595,2.386567,65.16,idle
SCOOTER_025,2023-01-01T06:49:15,48.879896,2.386813,38.03,idle
SCOOTER_035,2023-01-01T06:49:30,48.850764,2.359266,48.57,stop
SCOOTER_024,2023-01-01T06:49:45,48.866996,2.388661,12.85,idle
SCOOTER_012,2023-01-01T06:50:00,48.859194,2.368066,68.66,start
SCOOTER_042,2023-01-01T06:50:15,48.874021,2.353062,57.52,idle
SCOOTER_042,2023-01-01T06:50:30,48.871788,2.370423,56.69,start
SCOOTER_037,2023-01-01T06:50:45,48.856798,2.367078,12.67,start
SCOOTER_028,2023-01-01T06:51:00,48.899974,2.353834,31.03,idle
SCOOTER_015,2023-01-01T06:51:15,48.866762,2.367524,16.77,idle
SCOOTER_011,2023-01-01T06:51:30,48.899186,2.353333,11.08,idle
SCOOTER_017,2023-01-01T06:51:45,48.862662,2.364609,98.89,start
SCOOTER_032,2023-01-01T06:52:00,48.89676,2.37991,82.97,stop
SCOOTER_001,2023-01-01T06:52:15,48.881165,2.341828,21.47,stop
SCOOTER_018,2023-01-01T06:52:30,48.887594,2.342373,86.02,start
SCOOTER_025,2023-01-01T06:52:45,48.873248,2.340308,96.07,stop
SCOOTER_050,2023-01-01T06:53:00,48.899667,2.366133,83.52,stop
SCOOTER_015,2023-01-01T06:53:15,48.896885,2.353689,23.71,start
SCOOTER_021,2023-01-01T06:53:30,48.850134,2.371807,64.43,start
SCOOTER_045,2023-01-01T06:53:45,48.89181,2.382724,61.11,start
SCOOTER_009,2023-01-01T06:54:00,48.875013,2.357183,18.34,idle
SCOOTER_024,2023-01-01T06:54:15,48.853077,2.361204,86.54,stop
SCOOTER_009,2023-01-01T06:54:30,48.872019,2.341555,19.46,idle
SCOOTER_001,2023-01-01T06:54:45,48.881045,2.364136,55.91,start
SCOOTER_004,2023-01-01T06:55:00,48.873707,2.344206,82.57,idle
SCOOTER_020,2023-01-01T06:55:15,48.867038,2.352083,39.55,start
SCOOTER_017,2023-01-01T06:55:30,48.877251,2.349883,94.91,idle
SCOOTER_025,2023-01-01T06:55:45,48.899604,2.369781,10.36,start
SCOOTER_003,2023-01-01T06:56:00,48.899384,2.370669,96.8,idle
SCOOTER_040,2023-01-01T06:56:15,48.866875,2.372422,83.6,stop
SCOOTER_034,2023-01-01T06:56:30,48.861113,2.349334,32.92,start
SCOOTER_036,2023-01-01T06:56:45,48.872081,2.363984,95.28,stop
SCOOTER_023,2023-01-01T06:57:00,48.888013,2.358475,81.03,idle
SCOOTER_017,2023-01-01T06:57:15,48.850843,2.353645,53.15,stop
SCOOTER_026,2023-01-01T06:57:30,48.892922,2.375599,79.44,idle
SCOOTER_047,2023-01-01T06:57:45,48.870732,2.341168,43.74,idle
SCOOTER_007,2023-01-01T06:58:00,48.877186,2.370956,50.88,start
SCOOTER_046,2023-01-01T06:58:15,48.860997,2.354471,44.58,stop
SCOOTER_018,2023-01-01T06:58:30,48.851709,2.38279,63.34,stop
SCOOTER_029,2023-01-01T06:58:45,48.871822,2.358088,65.23,stop
SCOOTER_015,2023-01-01T06:59:00,48.888187,2.369886,90.78,idle
SCOOTER_029,2023-01-01T06:59:15,48.89563,2.360937,14.43,stop
SCOOTER_001,2023-01-01T06:59:30,48.852574,2.389292,28.69,start
SCOOTER_042,2023-01-01T06:59:45,48.893883,2.389321,52.55,stop
SCOOTER_036,2023-01-01T07:00:00,48.856359,2.353925,60.72,stop
SCOOTER_017,2023-01-01T07:00:15,48.855895,2.389449,49.95,idle
SCOOTER_002,2023-01-01T07:00:30,48.891999,2.35021,47.08,idle
SCOOTER_008,2023-01-01T07:00:45,48.897395,2.344915,70.55,start
SCOOTER_010,2023-01-01T07:01:00,48.859551,2.386643,33.82,stop
SCOOTER_001,2023-01-01T07:01:15,48.890189,2.355106,47.54,start
SCOOTER_001,2023-01-01T07:01:30,48.851913,2.362396,89.16,idle
SCOOTER_023,2023-01-01T07:01:45,48.887249,2.354885,54.19,stop
SCOOTER_047,2023-01-01T07:02:00,48.896897,2.355522,33.0,stop
SCOOTER_006,2023-01-01T07:02:15,48.860853,2.353797,59.21,start
SCOOTER_025,2023-01-01T07:02:30,48.898711,2.371345,43.95,start
SCOOTER_035,2023-01-01T07:02:45,48.898606,2.348443,72.54,idle
SCOOTER_003,2023-01-01T07:03:00,48.891657,2.38154,35.77,start
SCOOTER_035,2023-01-01T07:03:15,48.867677,2.375822,49.93,idle
SCOOTER_035,2023-01-01T07:03:30,48.858814,2.36996,61.63,start
SCOOTER_041,2023-01-01T07:03:45,48.873181,2.348277,70.95,start
SCOOTER_047,2023-01-01T07:04:00,48.888066,2.379603,88.28,start
SCOOTER_004,2023-01-01T07:04:15,48.895571,2.376384,58.5,stop
SCOOTER_010,2023-01-01T07:04:30,48.886288,2.377215,40.7,stop
SCOOTER_039,2023-01-01T07:04:45,48.871783,2.362149,75.08,idle
SCOOTER_031,2023-01-01T07:05:00,48.898718,2.379226,65.31,stop
SCOOTER_030,2023-01-01T07:05:15,48.852674,2.360672,14.83,stop
SCOOTER_042,2023-01-01T07:05:30,48.854702,2.355111,30.98,idle
SCOOTER_035,2023-01-01T07:05:45,48.890867,2.389904,43.52,idle
SCOOTER_050,2023-01-01T07:06:00,48.89637,2.375852,65.36,start
SCOOTER_049,2023-01-01T07:06:15,48.862475,2.37289,20.61,idle
SCOOTER_031,2023-01-01T07:06:30,48.852944,2.355137,72.58,idle
SCOOTER_044,2023-01-01T07:06:45,48.898414,2.381207,31.82,stop
SCOOTER_030,2023-01-01T07:07:00,48.863423,2.361715,98.32,start
SCOOTER_015,2023-01-01T07:07:15,48.862147,2.341715,37.14,idle
SCOOTER_034,2023-01-01T07:07:30,48.875684,2.35632,71.6,start
SCOOTER_013,2023-01-01T07:07:45,48.894041,2.355099,70.66,idle
SCOOTER_016,2023-01-01T07:08:00,48.853708,2.342992,80.56,stop
SCOOTER_046,2023-01-01T07:08:15,48.895277,2.389051,79.87,idle
SCOOTER_003,2023-01-01T07:08:30,48.884206,2.348019,65.97,stop
SCOOTER_038,2023-01-01T07:08:45,48.882915,2.34114,68.09,start
SCOOTER_040,2023-01-01T07:09:00,48.854692,2.384622,48.81,idle
SCOOTER_023,2023-01-01T07:09:15,48.871606,2.34592,61.77,start
SCOOTER_035,2023-01-01T07:09:30,48.850386,2.377287,74.46,start
SCOOTER_006,2023-01-01T07:09:45,48.862115,2.386427,55.75,idle
SCOOTER_031,2023-01-01T07:10:00,48.85361,2.35626,19.52,idle
SCOOTER_040,2023-01-01T07:10:15,48.892411,2.348863,52.3,stop
SCOOTER_014,2023-01-01T07:10:30,48.892914,2.349878,94.29,start
SCOOTER_028,2023-01-01T07:10:45,48.859361,2.353308,32.02,idle
SCOOTER_029,2023-01-01T07:11:00,48.890724,2.343621,26.86,start
SCOOTER_013,2023-01-01T07:11:15,48.880548,2.353192,52.23,idle
SCOOTER_049,2023-01-01T07:11:30,48.89173,2.376966,53.6,stop
SCOOTER_011,2023-01-01T07:11:45,48.870265,2.375378,94.92,stop
SCOOTER_034,2023-01-01T07:12:00,48.864841,2.362617,17.14,stop
SCOOTER_026,2023-01-01T07:12:15,48.865462,2.367505,10.03,idle
SCOOTER_023,2023-01-01T07:12:30,48.887004,2.346948,35.36,idle
SCOOTER_041,2023-01-01T07:12:45,48.862136,2.347239,90.82,stop
SCOOTER_015,2023-01-01T07:13:00,48.85685,2.362274,82.04,idle
SCOOTER_004,2023-01-01T07:13:15,48.879787,2.362025,50.05,idle
SCOOTER_007,2023-01-01T07:13:30,48.857532,2.38255,15.06,stop
SCOOTER_002,2023-01-01T07:13:45,48.862465,2.34731,13.07,start
SCOOTER_026,2023-01-01T07:14:00,48.890693,2.343493,76.29,start
SCOOTER_002,2023-01-01T07:14:15,48.878801,2.356203,62.01,idle
SCOOTER_034,2023-01-01T07:14:30,48.895199,2.367065,55.2,start
SCOOTER_031,2023-01-01T07:14:45,48.894101,2.343128,55.82,stop
SCOOTER_026,2023-01-01T07:15:00,48.860686,2.385694,94.18,idle
SCOOTER_025,2023-01-01T07:15:15,48.88862,2.346759,61.34,idle
SCOOTER_035,2023-01-01T07:15:30,48.89453,2.352495,70.06,stop
SCOOTER_045,2023-01-01T07:15:45,48.87119,2.383207,55.95,start
SCOOTER_007,2023-01-01T07:16:00,48.887904,2.353465,91.72,stop
SCOOTER_019,2023-01-01T07:16:15,48.893774,2.389881,59.37,idle
SCOOTER_030,2023-01-01T07:16:30,48.876389,2.373278,21.8,idle
SCOOTER_004,2023-01-01T07:16:45,48.883065,2.386316,77.81,idle
SCOOTER_015,2023-01-01T07:17:00,48.893419,2.363501,39.05,idle
SCOOTER_005,2023-01-01T07:17:15,48.862458,2.366721,29.32,start
SCOOTER_005,2023-01-01T07:17:30,48.897655,2.341572,26.4,idle
SCOOTER_042,2023-01-01T07:17:45,48.863423,2.359912,58.6,idle
SCOOTER_025,2023-01-01T07:18:00,48.854544,2.347536,94.47,start
SCOOTER_006,2023-01-01T07:18:15,48.874348,2.362038,13.71,start
SCOOTER_004,2023-01-01T07:18:30,48.889704,2.380124,97.38,stop
SCOOTER_013,2023-01-01T07:18:45,48.851543,2.378541,38.92,idle
SCOOTER_025,2023-01-01T07:19:00,48.887979,2.360396,46.32,stop
SCOOTER_025,2023-01-01T07:19:15,48.850711,2.344637,90.83,start
SCOOTER_003,2023-01-01T07:19:30,48.855719,2.345587,99.02,start
SCOOTER_002,2023-01-01T07:19:45,48.855987,2.351639,82.47,start
SCOOTER_003,2023-01-01T07:20:00,48.861421,2.378161,28.37,idle
SCOOTER_040,2023-01-01T07:20:15,48.89314,2.363898,28.25,stop
SCOOTER_043,2023-01-01T07:20:30,48.860187,2.350195,52.17,start
SCOOTER_004,2023-01-01T07:20:45,48.852681,2.346606,76.4,stop
SCOOTER_012,2023-01-01T07:21:00,48.862569,2.374876,86.1,stop
SCOOTER_007,2023-01-01T07:21:15,48.896083,2.360362,46.85,idle
SCOOTER_002,2023-01-01T07:21:30,48.86407,2.380695,95.42,idle
SCOOTER_049,2023-01-01T07:21:45,48.857386,2.358206,81.02,stop
SCOOTER_001,2023-01-01T07:22:00,48.858501,2.368173,67.11,idle
SCOOTER_044,2023-01-01T07:22:15,48.882,2.36022,28.46,idle
SCOOTER_033,2023-01-01T07:22:30,48.861421,2.340235,69.03,start
SCOOTER_042,2023-01-01T07:22:45,48.86114,2.356702,50.39,start
SCOOTER_035,2023-01-01T07:23:00,48.891669,2.374555,93.97,idle
SCOOTER_029,2023-01-01T07:23:15,48.896493,2.371237,12.38,idle
SCOOTER_025,2023-01-01T07:23:30,48.899776,2.381575,68.83,stop
SCOOTER_047,2023-01-01T07:23:45,48.890714,2.385459,40.48,stop
SCOOTER_011,2023-01-01T07:24:00,48.865128,2.37136,44.34,idle
SCOOTER_050,2023-01-01T07:24:15,48.893058,2.344275,97.24,start
SCOOTER_044,2023-01-01T07:24:30,48.854257,2.371501,44.08,stop
SCOOTER_033,2023-01-01T07:24:45,48.894814,2.368058,26.72,idle
SCOOTER_044,2023-01-01T07:25:00,48.883722,2.345357,77.1,stop
SCOOTER_025,2023-01-01T07:25:15,48.876324,2.361033,95.23,stop
SCOOTER_017,2023-01-01T07:25:30,48.850151,2.358695,12.27,start
SCOOTER_017,2023-01-01T07:25:45,48.876789,2.368143,95.7,stop
SCOOTER_029,2023-01-01T07:26:00,48.887217,2.36927,19.44,idle
SCOOTER_005,2023-01-01T07:26:15,48.880915,2.377855,73.18,idle
SCOOTER_031,2023-01-01T07:26:30,48.869856,2.376444,27.83,start
SCOOTER_017,2023-01-01T07:26:45,48.853905,2.349762,48.2,idle
SCOOTER_037,2023-01-01T07:27:00,48.875199,2.371156,75.24,idle
SCOOTER_029,2023-01-01T07:27:15,48.874336,2.357793,62.75,idle
SCOOTER_050,2023-01-01T07:27:30,48.888869,2.360924,53.9,idle
SCOOTER_030,2023-01-01T07:27:45,48.869524,2.354054,17.94,stop
SCOOTER_016,2023-01-01T07:28:00,48.862443,2.343774,73.43,idle
SCOOTER_041,2023-01-01T07:28:15,48.881542,2.357119,69.04,idle
SCOOTER_023,2023-01-01T07:28:30,48.884209,2.354049,24.9,start
SCOOTER_022,2023-01-01T07:28:45,48.87088,2.375335,29.95,idle
SCOOTER_041,2023-01-01T07:29:00,48.897411,2.354681,33.35,idle
SCOOTER_002,2023-01-01T07:29:15,48.886499,2.378441,12.79,stop
SCOOTER_045,2023-01-01T07:29:30,48.864461,2.368051,40.45,start
SCOOTER_048,2023-01-01T07:29:45,48.866451,2.347014,31.78,idle
